@relation ThesisHub_J48_500_Dataset

@attribute ﻿CGPA numeric
@attribute Attendance numeric
@attribute Submission_Days numeric
@attribute Teacher_Rating numeric
@attribute Final_Marks numeric
@attribute Performance_Class {Good,Poor,Average,Excellent}

@data
3.26,73,149,3.8,74,Average
3.14,69,151,4.6,75,Good
3.77,71,101,4.4,91,Excellent
3.26,65,106,4.8,83,Good
3.76,75,147,4.2,84,Good
2.74,90,102,3.7,78,Good
2.4,89,128,4.8,74,Average
3.66,83,149,4.5,86,Excellent
3.57,96,114,3.8,91,Excellent
2.75,68,169,4.5,65,Average
2.5,85,102,3.6,72,Average
3.16,98,115,3.6,84,Good
3.21,76,103,4.3,84,Good
3.48,80,146,3.7,79,Good
3.82,80,169,4.3,84,Good
3.39,91,169,4.3,81,Good
2.91,81,121,4.4,78,Good
2.9,81,145,3.7,71,Average
3.43,94,135,4.8,90,Excellent
3.9,65,153,4.4,84,Good
3.3,71,104,4.3,83,Good
3.21,73,139,4.7,79,Good
3.81,88,131,3.7,89,Excellent
3.73,84,162,3.5,81,Good
3.71,84,108,4.8,95,Excellent
2.61,72,108,4.5,74,Average
2.65,83,121,4.5,76,Good
2.73,81,159,4.2,69,Average
3.85,68,106,4.4,91,Excellent
3.73,67,95,4,88,Excellent
2.61,81,115,4.5,75,Good
3.28,92,166,3.5,76,Good
2.52,74,164,3.6,60,Poor
2.99,74,150,3.7,70,Average
2.89,67,140,3.8,68,Average
2.8,71,140,4.6,72,Average
3.81,91,114,4.8,95,Excellent
2.78,75,117,4.7,77,Good
2.44,86,147,4.6,70,Average
3.78,80,129,3.7,86,Excellent
3.52,89,99,4.7,95,Excellent
2.76,94,139,3.9,75,Good
3.67,79,123,3.5,84,Good
2.71,86,130,4.7,77,Good
3.95,82,139,4.4,92,Excellent
3.04,86,98,3.7,82,Good
3.95,76,169,4.8,87,Excellent
2.82,71,150,4,68,Average
3.66,92,160,3.7,84,Good
3.84,77,127,3.6,86,Excellent
3.1,98,163,4.5,80,Good
3.9,77,141,4.1,87,Excellent
3.92,86,135,4.4,93,Excellent
2.6,84,159,3.9,66,Average
3.05,90,132,4.3,81,Good
2.71,89,117,4.4,78,Good
2.88,65,133,3.9,69,Average
3.09,85,154,4.1,76,Good
3.48,97,155,4.6,88,Excellent
3.94,75,105,3.9,92,Excellent
3.46,86,106,4.6,91,Excellent
3.6,84,123,4.6,90,Excellent
2.64,67,126,4.9,72,Average
3.38,69,153,4.1,75,Good
3.41,77,144,4.2,80,Good
2.79,65,108,4.6,75,Good
2.75,98,154,3.6,72,Average
2.8,72,153,3.7,66,Average
3.14,98,166,4.3,80,Good
3.92,93,159,4.1,90,Excellent
3.85,93,115,4.5,95,Excellent
3.16,81,126,4.7,83,Good
2.84,98,157,4.4,77,Good
2.84,69,131,3.8,69,Average
2.94,70,112,3.7,73,Average
3.01,74,122,3.6,74,Average
3.05,94,148,3.6,76,Good
3.73,89,169,4.8,88,Excellent
2.43,89,156,3.5,64,Poor
2.96,89,148,4.3,77,Good
3.58,79,157,3.8,79,Good
3.1,66,144,4,71,Average
3.49,90,116,4.7,92,Excellent
3.87,66,145,4.3,84,Good
3.46,70,149,3.7,76,Good
3.14,68,128,4,75,Good
2.74,85,138,4.6,75,Good
3.01,91,127,4.7,83,Good
3.15,68,139,3.8,72,Average
2.51,67,98,4.8,74,Average
2.72,66,114,3.8,69,Average
3.16,72,167,4.8,74,Average
3.14,81,142,3.7,75,Good
3.37,72,115,4.9,86,Excellent
2.57,66,134,4.3,66,Average
3.85,89,145,4.8,93,Excellent
2.72,80,108,4.5,78,Good
2.88,72,167,4.6,69,Average
2.96,92,142,3.6,75,Good
3.44,65,148,4.7,79,Good
2.57,88,153,4.5,71,Average
3.1,98,129,4.4,85,Excellent
3.87,95,154,4.1,90,Excellent
3.57,82,136,4.7,88,Excellent
3.73,70,130,4.7,87,Excellent
2.79,94,167,4.4,74,Average
3.01,66,158,4.7,71,Average
2.69,78,140,4.6,72,Average
2.94,82,166,3.5,68,Average
3.92,70,125,4.5,90,Excellent
3.18,80,155,4.4,77,Good
3.19,66,106,3.9,78,Good
3.05,80,134,4.4,78,Good
2.99,98,139,4.1,80,Good
3.59,86,140,4.5,88,Excellent
2.83,81,124,3.7,73,Average
2.71,72,163,4.8,68,Average
3.5,77,122,4.5,86,Excellent
2.84,98,131,4.9,83,Good
3.73,83,124,4,89,Excellent
2.88,73,130,3.6,70,Average
2.49,83,111,4.4,74,Average
3.6,71,96,4.3,89,Excellent
3.15,93,138,3.8,80,Good
2.48,95,109,4.7,79,Good
3.04,69,168,4.4,70,Average
2.49,74,167,4.8,65,Average
2.54,80,110,4.3,74,Average
3.07,79,161,4,72,Average
3.85,84,170,4.9,88,Excellent
2.89,68,107,4.8,78,Good
2.73,78,128,4.4,74,Average
2.65,76,165,3.6,62,Poor
2.4,93,155,3.9,67,Average
2.77,83,153,3.6,68,Average
2.77,81,170,4.4,69,Average
3.89,92,109,4.3,95,Excellent
3.44,82,113,3.6,84,Good
2.67,84,167,4.8,71,Average
3.1,94,133,4.5,84,Good
3.91,97,164,4.2,91,Excellent
2.53,67,150,4.5,65,Average
3.37,66,106,3.8,80,Good
3.48,66,129,4.3,81,Good
3.62,76,155,4.2,81,Good
3.11,82,118,4.9,85,Excellent
3.1,96,106,4.2,87,Excellent
3.05,85,108,4.7,85,Excellent
2.93,96,131,4.4,82,Good
3.04,67,153,3.6,67,Average
2.8,72,146,4.7,72,Average
3.72,65,164,4.1,78,Good
2.49,98,141,4.4,74,Average
3.2,93,101,3.8,86,Excellent
3.28,83,151,4.7,81,Good
3.18,66,125,4.5,78,Good
2.9,65,165,4.1,65,Average
2.76,72,154,4.8,70,Average
3.44,74,158,4.8,81,Good
2.87,82,148,4.7,75,Good
3.97,80,153,4.3,89,Excellent
3.01,97,112,4.7,87,Excellent
2.84,91,138,4.8,80,Good
3.21,65,131,4.5,77,Good
3.74,96,114,4.1,95,Excellent
3.17,86,165,4.6,78,Good
3,85,119,4.9,84,Good
2.78,89,124,4.7,80,Good
3.06,85,155,4.5,77,Good
3.7,89,114,4.2,93,Excellent
2.46,97,170,4,67,Average
2.56,93,107,4.2,78,Good
3.13,74,147,4.7,77,Good
3.95,69,155,4.6,86,Excellent
2.82,90,105,4.7,84,Good
3.76,89,135,4.4,91,Excellent
3.82,96,164,3.6,86,Excellent
2.51,83,124,4.5,73,Average
3.09,71,107,4.1,79,Good
3.51,66,100,4,84,Good
2.49,87,142,4.1,69,Average
2.79,91,167,4.5,73,Average
2.69,76,105,4.4,76,Good
3.01,80,158,4.8,76,Good
2.63,94,127,4.1,76,Good
3.47,94,131,4.4,89,Excellent
2.65,93,139,4.9,78,Good
2.88,92,127,4.1,79,Good
2.88,89,156,3.6,71,Average
3.01,87,168,3.9,72,Average
3.52,66,145,3.9,77,Good
3.31,68,158,4.7,76,Good
3.84,79,140,3.8,86,Excellent
2.7,81,112,4.4,77,Good
3.85,67,134,4.6,87,Excellent
2.45,88,111,3.6,71,Average
2.87,91,117,3.8,78,Good
3.66,88,162,4.2,85,Excellent
2.84,75,127,4.8,77,Good
3.91,83,138,4.6,92,Excellent
3.15,69,113,4.6,81,Good
2.76,90,166,4,70,Average
3.67,65,128,4.3,83,Good
3.13,81,169,4,72,Average
3.42,88,108,4.4,90,Excellent
3.15,85,123,4.4,83,Good
3.42,94,133,4.4,88,Excellent
2.59,67,99,3.9,70,Average
3.19,71,125,4.7,80,Good
2.62,94,142,4.4,75,Good
3.59,91,170,4.5,85,Excellent
2.65,91,107,4.7,81,Good
3.39,82,99,4.5,90,Excellent
2.75,93,125,4.7,80,Good
2.56,88,164,4.8,71,Average
3.43,68,145,3.9,76,Good
3.95,94,106,4.4,95,Excellent
3.43,66,101,4.6,86,Excellent
2.79,73,167,3.8,64,Poor
3.73,78,170,3.8,79,Good
3.79,86,113,4.6,95,Excellent
3.35,82,113,4.9,89,Excellent
3.26,76,109,4.4,84,Good
2.44,65,140,4.6,65,Average
2.78,85,97,3.7,78,Good
2.48,91,162,3.7,65,Average
2.5,93,141,4.2,72,Average
2.57,97,123,4.8,80,Good
2.47,98,133,4.1,74,Average
3.94,68,156,4.7,86,Excellent
3.08,71,157,4.5,73,Average
3.11,70,136,4.4,76,Good
2.51,82,169,4.3,65,Average
2.92,98,132,4.1,80,Good
3.37,71,109,4.7,86,Excellent
3.44,78,150,4.1,80,Good
2.77,86,153,4.1,71,Average
3.57,85,149,3.9,83,Good
2.81,74,155,3.6,66,Average
3.73,70,150,3.6,79,Good
3.58,73,166,3.6,75,Good
3.93,86,110,4.1,95,Excellent
3.8,92,101,4.9,95,Excellent
3.36,87,108,4.3,88,Excellent
2.74,95,123,4.7,81,Good
2.96,88,109,4.6,84,Good
3.32,92,166,4.9,83,Good
3.71,66,129,3.5,80,Good
2.84,84,138,4,74,Average
2.69,74,167,4.4,66,Average
2.51,66,106,4.5,71,Average
2.74,91,153,4,72,Average
2.99,85,167,4.3,73,Average
3.81,74,115,4.6,92,Excellent
2.48,70,129,4.1,66,Average
3.08,93,148,3.9,78,Good
3.61,72,139,4.1,82,Good
2.85,96,162,4.4,76,Good
2.47,90,102,3.5,73,Average
2.88,78,112,4.6,79,Good
2.86,72,95,4.2,78,Good
3.09,73,143,4.2,74,Average
2.77,87,104,4.1,79,Good
3.59,92,97,4.1,94,Excellent
2.52,85,168,4.1,65,Average
3.05,91,132,3.7,78,Good
2.43,85,116,4.6,74,Average
3.39,88,106,4.1,88,Excellent
2.57,92,170,4.1,68,Average
2.53,84,138,3.8,68,Average
3.65,69,160,4.4,80,Good
3.25,77,139,4,78,Good
3.93,74,125,3.6,87,Excellent
2.81,76,114,4.6,77,Good
3.45,76,158,4.1,78,Good
3.3,93,167,4.4,81,Good
3.98,85,135,3.7,90,Excellent
2.51,93,133,4.6,75,Good
3.35,87,159,3.6,77,Good
3.14,67,102,4,78,Good
2.86,70,159,4,67,Average
3.33,67,152,4.8,78,Good
3.31,77,136,4.3,80,Good
3.2,68,152,3.6,70,Average
3.84,86,105,4.2,95,Excellent
2.68,80,151,4.9,73,Average
3.24,75,141,4,76,Good
2.85,91,138,4.5,78,Good
2.48,86,103,4,74,Average
3.29,89,131,3.9,82,Good
3.76,74,137,3.6,83,Good
3.46,87,134,4.9,89,Excellent
3.52,90,111,4.3,91,Excellent
3.9,84,166,4,85,Excellent
3.67,73,162,3.6,77,Good
3.47,97,141,3.5,84,Good
2.89,78,138,4.8,77,Good
3.18,79,112,3.7,80,Good
2.87,71,159,4.6,70,Average
3.74,98,99,4.4,95,Excellent
3.8,73,143,3.7,82,Good
2.69,75,151,3.6,65,Average
2.98,80,151,4.4,75,Good
3.6,93,124,4.2,91,Excellent
2.9,95,119,4,81,Good
3.92,93,154,4.6,93,Excellent
3.64,97,162,4.1,86,Excellent
2.66,77,112,4.7,76,Good
2.48,95,142,4.3,72,Average
2.56,98,110,3.9,77,Good
3.62,82,152,4.8,87,Excellent
2.64,92,106,4.8,82,Good
2.76,93,139,4.8,79,Good
3.06,90,159,4,76,Good
3.02,70,142,3.8,71,Average
2.91,71,137,4.6,74,Average
2.62,83,155,4.5,70,Average
2.62,95,152,4.4,74,Average
3.85,66,127,3.8,84,Good
2.64,98,149,3.7,72,Average
2.86,84,110,3.6,76,Good
3.07,94,103,3.7,84,Good
3.85,66,160,4.3,82,Good
3.55,83,149,3.5,80,Good
2.96,91,118,4.4,83,Good
2.54,88,103,4.8,80,Good
3.27,97,165,3.5,77,Good
3.8,67,144,4.9,87,Excellent
2.81,66,140,4.6,70,Average
2.95,71,169,4.5,69,Average
2.93,67,140,4.3,71,Average
3.7,76,154,4.9,86,Excellent
3.17,76,112,3.6,78,Good
3.64,94,99,3.9,94,Excellent
2.47,77,100,3.9,71,Average
2.9,90,164,4.2,73,Average
2.46,77,131,4,67,Average
3.65,86,129,3.7,86,Excellent
2.99,90,151,4.8,80,Good
3.02,76,158,4.5,73,Average
2.99,98,129,4.6,84,Good
3.56,70,150,4.3,80,Good
3.72,83,136,3.6,85,Excellent
2.92,83,134,4.1,76,Good
3.55,75,151,4,80,Good
2.47,87,150,3.9,67,Average
3.97,68,104,4.4,93,Excellent
3.05,97,115,4.8,88,Excellent
2.63,93,99,3.7,78,Good
2.78,88,141,4,73,Average
3.31,74,152,4.8,80,Good
3,69,168,3.7,66,Average
2.99,85,130,3.8,76,Good
2.58,76,158,4.2,65,Average
3.86,72,128,4.6,90,Excellent
3.53,78,131,4.5,86,Excellent
4,77,110,3.7,92,Excellent
2.52,76,151,4.9,69,Average
3.7,85,139,4.5,89,Excellent
3.28,83,133,4.7,84,Good
3.54,76,141,4.2,82,Good
2.59,77,112,3.8,71,Average
3.19,88,165,4.3,78,Good
3.15,73,106,3.6,78,Good
3.04,95,162,4.1,77,Good
3.06,69,111,4.9,81,Good
3.43,93,154,4.5,85,Excellent
2.95,76,111,4.1,77,Good
3.86,68,110,4.2,89,Excellent
2.89,75,136,4.8,76,Good
2.76,98,131,4.7,81,Good
2.8,82,111,4.4,78,Good
3.38,70,159,4.4,76,Good
3.35,74,116,4.4,84,Good
3.55,86,167,3.6,79,Good
3.78,70,100,4.8,93,Excellent
3.63,81,121,4.6,90,Excellent
3.07,66,158,4.7,72,Average
3.27,84,156,3.8,76,Good
3.69,90,133,4.1,89,Excellent
3.5,75,151,4.1,79,Good
3.14,86,113,3.9,82,Good
3.55,87,146,3.7,82,Good
2.99,71,135,3.8,71,Average
2.6,93,126,3.7,73,Average
2.48,89,148,3.8,67,Average
3.78,75,136,4.8,89,Excellent
3.55,77,115,4.2,87,Excellent
3.22,96,134,4.2,85,Excellent
2.54,90,159,4.1,68,Average
2.79,87,101,3.6,77,Good
3.19,95,131,4.3,85,Excellent
3.76,92,112,4.7,95,Excellent
3.56,90,141,3.6,84,Good
2.48,77,141,4.3,67,Average
2.52,97,152,4.6,74,Average
2.85,72,111,4.9,79,Good
3.03,86,166,4.8,77,Good
3.61,77,160,4.1,80,Good
2.46,67,112,4.5,69,Average
3.69,98,153,3.7,87,Excellent
3.83,73,136,4.8,89,Excellent
2.91,90,133,4.3,79,Good
3.21,97,163,4.2,80,Good
3.3,95,97,4,90,Excellent
3.48,91,169,3.9,80,Good
3.84,66,155,3.9,80,Good
3.45,79,101,4.3,88,Excellent
2.67,89,113,4.7,80,Good
2.79,72,119,3.5,70,Average
2.9,74,147,4.5,73,Average
3.06,95,102,4.5,88,Excellent
3.23,85,156,4.2,78,Good
2.9,76,153,4.8,74,Average
2.95,87,128,4.4,80,Good
2.71,80,130,4.3,73,Average
2.76,84,131,4.5,76,Good
3.5,96,135,4.2,89,Excellent
3.3,82,131,3.7,79,Good
3.48,89,145,4.6,87,Excellent
3.93,74,132,3.6,86,Excellent
3.93,70,139,4.8,90,Excellent
3.45,95,122,3.8,87,Excellent
3.26,82,112,3.7,82,Good
3.59,80,126,3.6,83,Good
3.85,79,124,3.6,87,Excellent
3.06,95,107,4.5,87,Excellent
2.62,75,147,4.4,68,Average
3.81,95,156,4.4,91,Excellent
3.61,83,136,3.9,85,Excellent
2.49,70,168,3.8,59,Poor
3.58,67,117,4.1,83,Good
3.74,67,145,4.6,84,Good
2.7,83,99,3.5,75,Good
3.31,71,137,3.9,76,Good
3.98,98,158,4.7,95,Excellent
2.61,97,154,3.9,71,Average
3.69,86,115,4.5,93,Excellent
3.44,76,96,4.5,89,Excellent
3.67,77,117,4.4,89,Excellent
3.42,90,149,4.2,83,Good
2.54,71,118,4.9,73,Average
3.16,80,95,3.9,83,Good
2.78,82,137,3.9,72,Average
3.56,65,128,4.4,82,Good
3.51,68,110,4.2,84,Good
2.66,97,134,4.5,78,Good
3.42,83,142,4.4,83,Good
